"ims_org_id","pred.y"
"INS00002458",380604.406240307
"INS00002473",5323158.35029147
"INS00005864",364168.356587647
"INS00002415",2667064.33670362
"INS00006198",851947.107965401
"INS00011406",3407139.85235722
"INS00000519",12454009.9987346
"INS00001105",3974241.73873394
"INS00001137",7129272.34611194
"INS00001600",6102890.22922461
"INS00001602",328880.324846086
"INS00002427",2829738.59651857
"INS00005063",2548177.79100557
"INS00005064",7119773.64369299
"INS00005072",1947362.75005614
"INS00005073",330200.651124826
"INS00006253",567214.342077202
"INS00528541",323236.894167852
"INS00606001",358222.595852468
"INS00001111",330101.752119311
"INS00001138",1222526.16422748
"INS00001264",14497812.0513688
"INS00002388",1281915.90084089
"INS00002430",2421758.04679787
"INS00002437",371084.654292675
"INS00002474",643341.441727652
"INS00005062",10377166.5054437
"INS00005065",21682081.9398395
"INS00005067",329081.877389058
"INS00005068",329501.100270362
"INS00005069",10187026.9954246
"INS00006025",328812.400714418
"INS00006251",18954112.8397191
"INS00006254",1183471.31087007
"INS00006266",1381920.26937137
"INS00006568",23723006.1580331
"INS00006569",3767228.15117073
"INS00006571",7455378.29216706
"INS00006749",328308.516302609
"INS00106762",1104384.72702905
"INS00114380",329379.807808783
"INS00488197",1376238.43652299
"INS00564505",780564.878883812
"INS01108752",335616.03794943
"INS00005066",3797094.44293238
"INS00006572",4882036.95117471
"INS00001125",531234.616507862
"INS00002457",3760839.69681617
"INS00002464",853763.305992529
"INS00005071",1505229.92438454
"INS00006570",1230127.34986586
"INS00604368",351249.096038269
"INS01126950",329527.942928619
"INS01188323",329569.985011469
"INS00001140",2415331.50359185
"INS00006433",16303030.9799932
"INS00550925",358946.143509635
"INS00001292",24442720.7978571
"INS00000624",2625849.74011696
"INS00001132",1148692.17094274
"INS00001293",330828.915582012
"INS00006743",329269.205242793
"INS00103526",598678.973017389
"INS00002318",4094783.37557537
"INS00002323",1103165.37096618
"INS00014915",1764787.24152502
"INS00014916",5501288.62843819
"INS01134302",328812.232445762
"INS00001611",874673.658222594
"INS00001614",1806737.81316978
"INS00001681",10306120.7344813
"INS00001682",8097952.33108198
"INS00002310",8208093.60450662
"INS00002313",4961411.80464956
"INS00002316",4039533.75260896
"INS00005231",20967140.439231
"INS00103604",1015627.01515059
"INS01174502",329249.037080191
"INS00001465",2149855.1496538
"INS00004999",687668.865057206
"INS00005000",2983906.09296501
"INS00005002",1232736.33409681
"INS00737234",469124.616167952
"INS00801798",472980.476318457
"INS00006622",328992.505649385
"INS00002327",979074.60028081
"INS00002355",1133052.85102133
"INS00002360",1194690.32653344
"INS00001608",527372.719207332
"INS00002335",4185112.33953497
"INS00002342",1594104.53173895
"INS00002357",2954111.99967906
"INS01069759",327671.289046022
"INS00000524",7925747.47937946
"INS00002350",1527646.06939917
"INS00002361",3331994.11981845
"INS00005440",328009.92282956
"INS00074170",328607.879964394
"INS00752994",1091084.35512369
"INS00831052",328868.120884659
"INS00001796",7925949.05956153
"INS00996757",2245616.04847026
"INS00002352",6828344.16823921
"INS00005084",4300249.97040886
"INS00084421",1967933.40316868
"INS00002328",2044798.31034465
"INS00005156",3946443.38791369
"INS00000713",5646928.5830168
"INS00000959",448160.530275894
"INS00001134",4232419.57377345
"INS00002344",6507001.27002347
"INS00002349",5410326.96291139
"INS00005082",9497882.27248566
"INS00005083",23919796.0899265
"INS00005155",11691224.9854494
"INS00005232",7678163.45169836
"INS00005233",2655231.22839896
"INS00005234",2264979.52117689
"INS00005235",4357398.59732349
"INS00006508",17782677.3373934
"INS00006510",4083616.64959145
"INS00006623",322355.035930543
"INS00108535",2474127.21290757
"INS00403823",329380.441846982
"INS00544730",330138.38029806
"INS00569503",328764.76312738
"INS00652114",328742.088612032
"INS00084408",7487186.05509251
"INS00002343",461845.122925663
"INS00584739",3992006.16031585
"INS00002347",370509.066543493
"INS00002348",2033822.93622794
"INS00921155",329454.039118444
"INS00002341",5062309.6956809
"INS00002367",4477465.76277789
"INS00002368",365121.300936011
"INS00002325",702929.959390581
"INS00002339",348348.416482868
"INS00002354",5809126.07041294
"INS00002364",598132.313412809
"INS00004995",2260256.49938602
"INS00004996",29407263.415869
"INS00536687",328783.574616733
"INS00638420",328650.578065537
"INS00005001",2639936.40960477
"INS00001474",8044518.64235243
"INS00004997",1255291.19333754
"INS00004998",4363222.97274597
"INS00002520",7059311.53951044
"INS00002529",406254.195629183
"INS00601965",910921.861407803
"INS00005949",471334.764705105
"INS00564507",649141.126899132
"INS00006659",8148256.85869521
"INS00006660",517057.612519113
"INS00006668",531727.57297301
"INS00006662",679047.689432256
"INS00002532",4354439.00677678
"INS00006666",434443.713292396
"INS00002495",3141099.78917995
"INS00002519",2165358.06607773
"INS00006600",19241196.6689424
"INS00006601",328385.197564695
"INS00604745",339563.485339679
"INS00005950",472351.875747782
"INS00000972",5108705.97188912
"INS00006004",1092653.86549248
"INS00483797",2649761.30428333
"INS00698524",449206.79382667
"INS00000960",6670318.83137817
"INS00000967",809302.184082484
"INS00001458",10308556.6394728
"INS00001460",7011651.87649045
"INS00001461",329682.93600657
"INS00001466",328822.17833346
"INS00001762",330395.586992976
"INS00005230",21322376.7294281
"INS00006686",334945.995427793
"INS00073432",329004.712007552
"INS00525498",639857.686515424
"INS00569576",329275.894123524
"INS00933296",326495.346952948
"INS00002501",6409492.17973783
"INS00002517",2830821.44406588
"INS00006003",5383777.69867943
"INS00637308",3601361.85512225
"INS00841115",456896.447010804
"INS00002502",4164747.90293181
"INS00002515",1131660.57565933
"INS00006001",6549569.02784681
"INS00006002",13407519.1140221
"INS00408969",451339.139901416
"INS00551415",328268.576985157
"INS00000607",328740.865847571
